#&a / °	I1 / %
3.039	9.6
3.036	9.6
3.033	9.6
3.030	9.5
3.027	9.5
3.025	9.5
3.022	9.5
3.019	9.5
3.016	9.5
3.013	9.5
3.010	9.5
3.007	9.5
3.004	9.5
3.001	9.5
2.998	9.5
2.995	9.5
2.992	9.5
2.989	9.5
2.986	9.5
2.983	9.5
2.980	9.5
2.977	9.5
2.974	9.5
2.971	9.5
2.968	9.5
2.965	9.5
2.962	9.4
2.959	9.4
2.956	9.4
2.953	9.4
2.950	9.5
2.947	9.5
2.945	9.5
2.942	9.5
2.939	9.5
2.936	9.5
2.933	9.5
2.930	9.5
2.927	9.5
2.924	9.5
2.921	9.5
2.918	9.5
2.915	9.5
2.912	9.5
2.909	9.5
2.906	9.5
2.903	9.5
2.900	9.5
2.897	9.5
2.894	9.5
2.891	9.5
2.888	9.5
2.885	9.5
2.882	9.5
2.879	9.5
2.876	9.5
2.873	9.5
2.870	9.5
2.867	9.5
2.865	9.5
2.862	9.5
2.859	9.5
2.856	9.5
2.853	9.5
2.850	9.5
2.847	9.5
2.844	9.5
2.841	9.5
2.838	9.5
2.835	9.5
2.832	9.5
2.829	9.5
2.826	9.5
2.823	9.5
2.820	9.5
2.817	9.5
2.814	9.5
2.811	9.5
2.808	9.5
2.805	9.5
2.802	9.5
2.799	9.5
2.796	9.5
2.793	9.5
2.790	9.5
2.787	9.5
2.785	9.5
2.782	9.5
2.779	9.5
2.776	9.5
2.773	9.5
2.770	9.5
2.767	9.5
2.764	9.5
2.761	9.5
2.758	9.5
2.755	9.5
2.752	9.5
2.749	9.5
2.746	9.5
2.743	9.5
2.740	9.5
2.737	9.5
2.734	9.5
2.731	9.5
2.728	9.6
2.725	9.5
2.722	9.5
2.719	9.6
2.716	9.6
2.713	9.6
2.710	9.6
2.707	9.6
2.704	9.6
2.702	9.6
2.699	9.6
2.696	9.6
2.693	9.6
2.690	9.6
2.687	9.6
2.684	9.6
2.681	9.6
2.678	9.6
2.675	9.6
2.672	9.6
2.669	9.6
2.666	9.6
2.663	9.6
2.660	9.6
2.657	9.6
2.654	9.6
2.651	9.6
2.648	9.6
2.645	9.6
2.642	9.6
2.639	9.6
2.636	9.6
2.633	9.6
2.630	9.6
2.627	9.6
2.624	9.6
2.621	9.6
2.619	9.6
2.616	9.6
2.613	9.6
2.610	9.6
2.607	9.6
2.604	9.6
2.601	9.6
2.598	9.6
2.595	9.6
2.592	9.6
2.589	9.6
2.586	9.6
2.583	9.6
2.580	9.6
2.577	9.6
2.574	9.6
2.571	9.6
2.568	9.7
2.565	9.7
2.562	9.7
2.559	9.7
2.556	9.7
2.553	9.7
2.550	9.7
2.547	9.7
2.544	9.7
2.541	9.7
2.538	9.7
2.535	9.7
2.533	9.7
2.530	9.7
2.527	9.7
2.524	9.7
2.521	9.7
2.518	9.7
2.515	9.7
2.512	9.7
2.509	9.7
2.506	9.7
2.503	9.7
2.500	9.7
2.497	9.7
2.494	9.7
2.491	9.7
2.488	9.7
2.485	9.7
2.482	9.7
2.479	9.7
2.476	9.7
2.473	9.7
2.470	9.7
2.467	9.7
2.464	9.7
2.461	9.7
2.458	9.7
2.455	9.7
2.452	9.8
2.449	9.8
2.447	9.8
2.444	9.8
2.441	9.8
2.438	9.8
2.435	9.8
2.432	9.8
2.429	9.8
2.426	9.8
2.423	9.8
2.420	9.8
2.417	9.8
2.414	9.8
2.411	9.8
2.408	9.8
2.405	9.8
2.402	9.8
2.399	9.8
2.396	9.8
2.393	9.8
2.390	9.8
2.387	9.8
2.384	9.8
2.381	9.9
2.378	9.9
2.375	9.9
2.372	9.9
2.369	9.9
2.366	9.9
2.363	9.9
2.361	9.9
2.358	9.9
2.355	9.9
2.352	9.9
2.349	9.9
2.346	9.9
2.343	9.9
2.340	9.9
2.337	9.9
2.334	9.9
2.331	9.9
2.328	9.9
2.325	9.9
2.322	9.9
2.319	9.9
2.316	9.9
2.313	9.9
2.310	9.9
2.307	9.9
2.304	10.0
2.301	9.9
2.298	9.9
2.295	10.0
2.292	10.0
2.289	10.0
2.286	9.9
2.283	10.0
2.280	9.9
2.277	9.9
2.275	10.0
2.272	10.0
2.269	10.0
2.266	10.0
2.263	10.0
2.260	10.0
2.257	10.0
2.254	10.0
2.251	10.0
2.248	10.0
2.245	10.0
2.242	10.0
2.239	10.0
2.236	10.0
2.233	10.0
2.230	10.0
2.227	10.0
2.224	10.0
2.221	10.0
2.218	10.0
2.215	10.0
2.212	10.1
2.209	10.1
2.206	10.1
2.203	10.1
2.200	10.1
2.197	10.0
2.194	10.0
2.191	10.1
2.188	10.1
2.186	10.0
2.183	10.0
2.180	10.1
2.177	10.1
2.174	10.1
2.171	10.1
2.168	10.1
2.165	10.1
2.162	10.1
2.159	10.1
2.156	10.0
2.153	10.1
2.150	10.1
2.147	10.1
2.144	10.1
2.141	10.1
2.138	10.1
2.135	10.1
2.132	10.1
2.129	10.1
2.126	10.1
2.123	10.1
2.120	10.1
2.117	10.1
2.114	10.1
2.111	10.1
2.108	10.1
2.105	10.1
2.102	10.1
2.099	10.1
2.097	10.1
2.094	10.1
2.091	10.1
2.088	10.1
2.085	10.1
2.082	10.1
2.079	10.1
2.076	10.1
2.073	10.1
2.070	10.1
2.067	10.1
2.064	10.1
2.061	10.2
2.058	10.1
2.055	10.1
2.052	10.1
2.049	10.1
2.046	10.1
2.043	10.1
2.040	10.1
2.037	10.1
2.034	10.1
2.031	10.1
2.028	10.1
2.025	10.1
2.022	10.1
2.019	10.1
2.016	10.2
2.013	10.1
2.010	10.2
2.008	10.1
2.005	10.1
2.002	10.1
1.999	10.1
1.996	10.1
1.993	10.1
1.990	10.1
1.987	10.1
1.984	10.1
1.981	10.2
1.978	10.2
1.975	10.2
1.972	10.2
1.969	10.2
1.966	10.1
1.963	10.1
1.960	10.2
1.957	10.2
1.954	10.2
1.951	10.2
1.948	10.2
1.945	10.1
1.942	10.1
1.939	10.2
1.936	10.2
1.933	10.2
1.930	10.2
1.927	10.3
1.924	10.3
1.921	10.3
1.918	10.4
1.916	10.4
1.913	10.4
1.910	10.4
1.907	10.4
1.904	10.4
1.901	10.4
1.898	10.4
1.895	10.4
1.892	10.5
1.889	10.5
1.886	10.5
1.883	10.5
1.880	10.5
1.877	10.5
1.874	10.5
1.871	10.5
1.868	10.4
1.865	10.4
1.862	10.4
1.859	10.4
1.856	10.4
1.853	10.4
1.850	10.4
1.847	10.3
1.844	10.4
1.841	10.3
1.838	10.3
1.835	10.3
1.832	10.3
1.829	10.3
1.826	10.3
1.824	10.3
1.821	10.3
1.818	10.3
1.815	10.3
1.812	10.3
1.809	10.3
1.806	10.3
1.803	10.3
1.800	10.3
1.797	10.3
1.794	10.3
1.791	10.3
1.788	10.3
1.785	10.4
1.782	10.3
1.779	10.3
1.776	10.3
1.773	10.3
1.770	10.3
1.767	10.4
1.764	10.4
1.761	10.4
1.758	10.4
1.755	10.4
1.752	10.4
1.749	10.4
1.746	10.4
1.743	10.4
1.740	10.4
1.737	10.4
1.734	10.4
1.732	10.4
1.729	10.4
1.726	10.4
1.723	10.4
1.720	10.4
1.717	10.4
1.714	10.4
1.711	10.4
1.708	10.4
1.705	10.4
1.702	10.4
1.699	10.4
1.696	10.4
1.693	10.4
1.690	10.4
1.687	10.4
1.684	10.5
1.681	10.4
1.678	10.4
1.675	10.4
1.672	10.4
1.669	10.4
1.666	10.4
1.663	10.5
1.660	10.5
1.657	10.5
1.654	10.5
1.651	10.5
1.648	10.5
1.645	10.5
1.642	10.5
1.639	10.5
1.637	10.5
1.634	10.5
1.631	10.5
1.628	10.5
1.625	10.5
1.622	10.5
1.619	10.5
1.616	10.5
1.613	10.5
1.610	10.5
1.607	10.5
1.604	10.5
1.601	10.5
1.598	10.5
1.595	10.5
1.592	10.5
1.589	10.5
1.586	10.5
1.583	10.5
1.580	10.5
1.577	10.5
1.574	10.5
1.571	10.5
1.568	10.5
1.565	10.5
1.562	10.5
1.559	10.5
1.556	10.5
1.553	10.5
1.550	10.5
1.547	10.5
1.544	10.5
1.542	10.5
1.539	10.5
1.536	10.5
1.533	10.5
1.530	10.5
1.527	10.5
1.524	10.5
1.521	10.6
1.518	10.6
1.515	10.6
1.512	10.6
1.509	10.6
1.506	10.6
1.503	10.6
1.500	10.6
1.497	10.6
1.494	10.6
1.491	10.5
1.488	10.5
1.485	10.5
1.482	10.6
1.479	10.6
1.476	10.6
1.473	10.6
1.470	10.6
1.467	10.6
1.464	10.6
1.461	10.6
1.458	10.6
1.455	10.6
1.452	10.6
1.449	10.6
1.447	10.6
1.444	10.6
1.441	10.6
1.438	10.6
1.435	10.6
1.432	10.6
1.429	10.6
1.426	10.7
1.423	10.7
1.420	10.7
1.417	10.6
1.414	10.6
1.411	10.7
1.408	10.6
1.405	10.6
1.402	10.7
1.399	10.7
1.396	10.7
1.393	10.7
1.390	10.7
1.387	10.7
1.384	10.7
1.381	10.7
1.378	10.7
1.375	10.7
1.372	10.7
1.369	10.7
1.366	10.7
1.363	10.7
1.360	10.7
1.357	10.7
1.354	10.7
1.352	10.7
1.349	10.7
1.346	10.7
1.343	10.7
1.340	10.7
1.337	10.7
1.334	10.7
1.331	10.7
1.328	10.7
1.325	10.7
1.322	10.7
1.319	10.7
1.316	10.7
1.313	10.7
1.310	10.7
1.307	10.6
1.304	10.6
1.301	10.6
1.298	10.6
1.295	10.6
1.292	10.6
1.289	10.6
1.286	10.6
1.283	10.6
1.280	10.6
1.277	10.6
1.274	10.6
1.271	10.6
1.268	10.6
1.265	10.6
1.262	10.6
1.259	10.6
1.256	10.6
1.254	10.6
1.251	10.6
1.248	10.7
1.245	10.7
1.242	10.7
1.239	10.6
1.236	10.6
1.233	10.6
1.230	10.6
1.227	10.7
1.224	10.6
1.221	10.6
1.218	10.6
1.215	10.6
1.212	10.6
1.209	10.7
1.206	10.7
1.203	10.7
1.200	10.7
1.197	10.7
1.194	10.7
1.191	10.7
1.188	10.7
1.185	10.7
1.182	10.7
1.179	10.7
1.176	10.7
1.173	10.7
1.170	10.7
1.167	10.7
1.164	10.7
1.161	10.7
1.158	10.7
1.156	10.7
1.153	10.7
1.150	10.7
1.147	10.7
1.144	10.7
1.141	10.7
1.138	10.7
1.135	10.7
1.132	10.7
1.129	10.7
1.126	10.8
1.123	10.8
1.120	10.8
1.117	10.8
1.114	10.8
1.111	10.8
1.108	10.8
1.105	10.8
1.102	10.8
1.099	10.8
1.096	10.8
1.093	10.8
1.090	10.8
1.087	10.8
1.084	10.8
1.081	10.8
1.078	10.8
1.075	10.8
1.072	10.8
1.069	10.8
1.066	10.8
1.063	10.8
1.060	10.8
1.058	10.8
1.055	10.8
1.052	10.8
1.049	10.8
1.046	10.8
1.043	10.8
1.040	10.8
1.037	10.8
1.034	10.8
1.031	10.8
1.028	10.8
1.025	10.8
1.022	10.8
1.019	10.9
1.016	10.8
1.013	10.8
1.010	10.8
1.007	10.8
1.004	10.8
1.001	10.9
0.998	10.9
0.995	10.9
0.992	10.9
0.989	10.9
0.986	10.9
0.983	10.9
0.980	10.9
0.977	10.9
0.974	10.9
0.971	10.9
0.968	10.9
0.965	10.9
0.962	10.9
0.960	10.9
0.957	10.9
0.954	10.9
0.951	10.9
0.948	10.9
0.945	10.9
0.942	10.9
0.939	10.9
0.936	10.9
0.933	10.9
0.930	10.9
0.927	10.9
0.924	10.9
0.921	10.9
0.918	10.9
0.915	10.9
0.912	10.9
0.909	10.9
0.906	10.9
0.903	10.9
0.900	10.9
0.897	10.9
0.894	10.9
0.891	10.9
0.888	10.9
0.885	10.9
0.882	10.9
0.879	10.9
0.876	10.9
0.873	10.9
0.870	10.9
0.867	10.9
0.864	10.9
0.861	10.9
0.859	10.9
0.856	10.9
0.853	10.9
0.850	11.0
0.847	11.0
0.844	11.0
0.841	11.0
0.838	11.0
0.835	11.0
0.832	11.0
0.829	11.0
0.826	11.0
0.823	11.0
0.820	11.0
0.817	11.0
0.814	11.0
0.811	11.0
0.808	11.0
0.805	11.0
