#&a / °	I1 / %
3.039	8.5
3.036	8.5
3.033	8.5
3.030	8.5
3.027	8.5
3.025	8.5
3.022	8.5
3.019	8.5
3.016	8.5
3.013	8.4
3.010	8.4
3.007	8.4
3.004	8.4
3.001	8.4
2.998	8.4
2.995	8.4
2.992	8.4
2.989	8.4
2.986	8.4
2.983	8.4
2.980	8.4
2.977	8.4
2.974	8.4
2.971	8.4
2.968	8.4
2.965	8.4
2.962	8.4
2.959	8.4
2.956	8.4
2.953	8.4
2.950	8.4
2.947	8.4
2.945	8.4
2.942	8.4
2.939	8.4
2.936	8.4
2.933	8.4
2.930	8.4
2.927	8.4
2.924	8.4
2.921	8.4
2.918	8.4
2.915	8.4
2.912	8.4
2.909	8.4
2.906	8.4
2.903	8.4
2.900	8.4
2.897	8.4
2.894	8.4
2.891	8.4
2.888	8.5
2.885	8.5
2.882	8.5
2.879	8.5
2.876	8.5
2.873	8.5
2.870	8.5
2.867	8.5
2.865	8.5
2.862	8.5
2.859	8.5
2.856	8.5
2.853	8.5
2.850	8.5
2.847	8.5
2.844	8.5
2.841	8.5
2.838	8.5
2.835	8.5
2.832	8.4
2.829	8.5
2.826	8.5
2.823	8.5
2.820	8.5
2.817	8.5
2.814	8.5
2.811	8.5
2.808	8.5
2.805	8.5
2.802	8.5
2.799	8.5
2.796	8.5
2.793	8.5
2.790	8.5
2.787	8.5
2.785	8.5
2.782	8.5
2.779	8.5
2.776	8.5
2.773	8.5
2.770	8.5
2.767	8.5
2.764	8.5
2.761	8.5
2.758	8.5
2.755	8.5
2.752	8.5
2.749	8.5
2.746	8.5
2.743	8.5
2.740	8.5
2.737	8.5
2.734	8.5
2.731	8.5
2.728	8.5
2.725	8.5
2.722	8.5
2.719	8.5
2.716	8.5
2.713	8.5
2.710	8.5
2.707	8.5
2.704	8.5
2.702	8.5
2.699	8.5
2.696	8.5
2.693	8.5
2.690	8.5
2.687	8.5
2.684	8.5
2.681	8.5
2.678	8.5
2.675	8.5
2.672	8.5
2.669	8.5
2.666	8.5
2.663	8.5
2.660	8.5
2.657	8.5
2.654	8.6
2.651	8.6
2.648	8.5
2.645	8.5
2.642	8.6
2.639	8.6
2.636	8.5
2.633	8.5
2.630	8.5
2.627	8.5
2.624	8.5
2.621	8.6
2.619	8.6
2.616	8.5
2.613	8.6
2.610	8.6
2.607	8.6
2.604	8.5
2.601	8.5
2.598	8.5
2.595	8.6
2.592	8.6
2.589	8.6
2.586	8.6
2.583	8.6
2.580	8.6
2.577	8.6
2.574	8.6
2.571	8.6
2.568	8.6
2.565	8.6
2.562	8.6
2.559	8.6
2.556	8.6
2.553	8.6
2.550	8.6
2.547	8.6
2.544	8.6
2.541	8.6
2.538	8.6
2.535	8.6
2.533	8.6
2.530	8.6
2.527	8.6
2.524	8.6
2.521	8.6
2.518	8.6
2.515	8.6
2.512	8.6
2.509	8.6
2.506	8.6
2.503	8.6
2.500	8.6
2.497	8.6
2.494	8.6
2.491	8.6
2.488	8.6
2.485	8.6
2.482	8.6
2.479	8.6
2.476	8.6
2.473	8.6
2.470	8.6
2.467	8.6
2.464	8.6
2.461	8.6
2.458	8.6
2.455	8.6
2.452	8.6
2.449	8.6
2.447	8.6
2.444	8.7
2.441	8.7
2.438	8.6
2.435	8.7
2.432	8.7
2.429	8.7
2.426	8.7
2.423	8.7
2.420	8.7
2.417	8.7
2.414	8.7
2.411	8.7
2.408	8.7
2.405	8.7
2.402	8.7
2.399	8.7
2.396	8.7
2.393	8.7
2.390	8.7
2.387	8.7
2.384	8.7
2.381	8.7
2.378	8.7
2.375	8.7
2.372	8.7
2.369	8.7
2.366	8.7
2.363	8.7
2.361	8.7
2.358	8.7
2.355	8.7
2.352	8.7
2.349	8.7
2.346	8.7
2.343	8.7
2.340	8.7
2.337	8.7
2.334	8.7
2.331	8.7
2.328	8.7
2.325	8.7
2.322	8.7
2.319	8.7
2.316	8.7
2.313	8.7
2.310	8.7
2.307	8.7
2.304	8.7
2.301	8.7
2.298	8.7
2.295	8.7
2.292	8.8
2.289	8.8
2.286	8.8
2.283	8.8
2.280	8.7
2.277	8.7
2.275	8.8
2.272	8.8
2.269	8.8
2.266	8.8
2.263	8.8
2.260	8.8
2.257	8.8
2.254	8.8
2.251	8.8
2.248	8.8
2.245	8.8
2.242	8.8
2.239	8.8
2.236	8.8
2.233	8.8
2.230	8.8
2.227	8.8
2.224	8.8
2.221	8.8
2.218	8.8
2.215	8.8
2.212	8.8
2.209	8.8
2.206	8.8
2.203	8.8
2.200	8.8
2.197	8.8
2.194	8.8
2.191	8.8
2.188	8.8
2.186	8.8
2.183	8.8
2.180	8.8
2.177	8.8
2.174	8.8
2.171	8.8
2.168	8.8
2.165	8.8
2.162	8.8
2.159	8.8
2.156	8.8
2.153	8.8
2.150	8.8
2.147	8.8
2.144	8.8
2.141	8.8
2.138	8.8
2.135	8.8
2.132	8.8
2.129	8.9
2.126	8.9
2.123	8.9
2.120	8.9
2.117	8.9
2.114	8.9
2.111	8.9
2.108	8.9
2.105	8.9
2.102	8.9
2.099	8.9
2.097	8.9
2.094	8.9
2.091	8.9
2.088	8.9
2.085	8.9
2.082	8.9
2.079	8.9
2.076	8.9
2.073	8.9
2.070	8.9
2.067	8.9
2.064	8.9
2.061	8.9
2.058	8.9
2.055	8.9
2.052	8.9
2.049	8.9
2.046	8.9
2.043	8.9
2.040	8.9
2.037	8.9
2.034	8.9
2.031	8.9
2.028	8.9
2.025	8.9
2.022	9.0
2.019	9.0
2.016	9.0
2.013	9.0
2.010	9.0
2.008	9.0
2.005	9.0
2.002	9.0
1.999	9.0
1.996	9.0
1.993	9.0
1.990	9.0
1.987	9.0
1.984	9.0
1.981	9.0
1.978	9.0
1.975	9.0
1.972	9.0
1.969	9.0
1.966	9.0
1.963	9.0
1.960	9.0
1.957	9.0
1.954	9.0
1.951	9.0
1.948	9.0
1.945	9.0
1.942	9.0
1.939	9.0
1.936	9.0
1.933	9.0
1.930	9.0
1.927	9.0
1.924	9.0
1.921	9.0
1.918	9.0
1.916	9.0
1.913	9.0
1.910	9.0
1.907	9.0
1.904	9.0
1.901	9.0
1.898	9.0
1.895	9.0
1.892	9.0
1.889	9.0
1.886	9.0
1.883	9.0
1.880	9.0
1.877	9.0
1.874	9.0
1.871	9.0
1.868	9.0
1.865	9.0
1.862	9.0
1.859	9.0
1.856	9.0
1.853	9.0
1.850	9.0
1.847	9.0
1.844	9.0
1.841	9.0
1.838	9.0
1.835	9.0
1.832	9.0
1.829	9.0
1.826	9.0
1.824	9.0
1.821	9.0
1.818	9.0
1.815	9.0
1.812	9.0
1.809	9.0
1.806	9.0
1.803	9.0
1.800	9.0
1.797	9.0
1.794	9.0
1.791	9.0
1.788	9.0
1.785	9.0
1.782	9.0
1.779	9.0
1.776	9.0
1.773	9.0
1.770	9.0
1.767	9.0
1.764	9.0
1.761	9.0
1.758	9.0
1.755	9.0
1.752	9.0
1.749	9.0
1.746	9.0
1.743	9.0
1.740	9.0
1.737	9.0
1.734	9.0
1.732	9.0
1.729	9.1
1.726	9.1
1.723	9.1
1.720	9.1
1.717	9.1
1.714	9.1
1.711	9.1
1.708	9.1
1.705	9.1
1.702	9.1
1.699	9.1
1.696	9.1
1.693	9.1
1.690	9.1
1.687	9.1
1.684	9.1
1.681	9.1
