#&a / °	I1 / %
3.039	8.1
3.036	8.1
3.033	8.0
3.030	8.0
3.027	8.0
3.025	8.0
3.022	8.0
3.019	8.0
3.016	8.0
3.013	8.0
3.010	8.0
3.007	8.0
3.004	8.0
3.001	8.0
2.998	8.0
2.995	8.0
2.992	8.0
2.989	8.0
2.986	8.0
2.983	8.0
2.980	8.0
2.977	8.0
2.974	8.0
2.971	8.0
2.968	8.0
2.965	8.0
2.962	8.0
2.959	8.0
2.956	8.0
2.953	8.0
2.950	8.0
2.947	8.0
2.945	8.0
2.942	8.0
2.939	8.0
2.936	8.0
2.933	8.0
2.930	8.0
2.927	8.0
2.924	8.0
2.921	8.0
2.918	8.0
2.915	8.0
2.912	8.0
2.909	8.0
2.906	8.0
2.903	8.0
2.900	8.0
2.897	8.0
2.894	8.0
2.891	8.0
2.888	8.1
2.885	8.1
2.882	8.0
2.879	8.0
2.876	8.1
2.873	8.1
2.870	8.1
2.867	8.1
2.865	8.1
2.862	8.1
2.859	8.1
2.856	8.1
2.853	8.1
2.850	8.1
2.847	8.1
2.844	8.1
2.841	8.1
2.838	8.1
2.835	8.1
2.832	8.1
2.829	8.1
2.826	8.1
2.823	8.1
2.820	8.1
2.817	8.1
2.814	8.1
2.811	8.1
2.808	8.1
2.805	8.1
2.802	8.1
2.799	8.1
2.796	8.1
2.793	8.1
2.790	8.1
2.787	8.1
2.785	8.1
2.782	8.1
2.779	8.1
2.776	8.1
2.773	8.1
2.770	8.1
2.767	8.1
2.764	8.1
2.761	8.1
2.758	8.1
2.755	8.1
2.752	8.1
2.749	8.1
2.746	8.1
2.743	8.1
2.740	8.1
2.737	8.1
2.734	8.1
2.731	8.1
2.728	8.1
2.725	8.1
2.722	8.1
2.719	8.1
2.716	8.1
2.713	8.1
2.710	8.1
2.707	8.1
2.704	8.1
2.702	8.1
2.699	8.1
2.696	8.1
2.693	8.1
2.690	8.1
2.687	8.1
2.684	8.1
2.681	8.1
2.678	8.1
2.675	8.1
2.672	8.1
2.669	8.1
2.666	8.1
2.663	8.1
2.660	8.1
2.657	8.1
2.654	8.1
2.651	8.1
2.648	8.1
2.645	8.1
2.642	8.1
2.639	8.1
2.636	8.1
2.633	8.1
2.630	8.1
2.627	8.1
2.624	8.1
2.621	8.1
2.619	8.1
2.616	8.1
2.613	8.1
2.610	8.1
2.607	8.1
2.604	8.1
2.601	8.1
2.598	8.1
2.595	8.1
2.592	8.1
2.589	8.1
2.586	8.2
2.583	8.2
2.580	8.2
2.577	8.2
2.574	8.2
2.571	8.2
2.568	8.2
2.565	8.2
2.562	8.2
2.559	8.2
2.556	8.2
2.553	8.2
2.550	8.2
2.547	8.2
2.544	8.2
2.541	8.2
2.538	8.2
2.535	8.2
2.533	8.2
2.530	8.2
2.527	8.2
2.524	8.2
2.521	8.2
2.518	8.2
2.515	8.2
2.512	8.2
2.509	8.2
2.506	8.2
2.503	8.2
2.500	8.2
2.497	8.2
2.494	8.2
2.491	8.2
2.488	8.2
2.485	8.2
2.482	8.2
2.479	8.2
2.476	8.2
2.473	8.2
2.470	8.2
2.467	8.2
2.464	8.2
2.461	8.2
2.458	8.2
2.455	8.2
2.452	8.2
2.449	8.2
2.447	8.2
2.444	8.2
2.441	8.2
2.438	8.3
2.435	8.3
2.432	8.3
2.429	8.3
2.426	8.3
2.423	8.3
2.420	8.3
2.417	8.2
2.414	8.2
2.411	8.2
2.408	8.2
2.405	8.3
2.402	8.3
2.399	8.3
2.396	8.3
2.393	8.2
2.390	8.3
2.387	8.3
2.384	8.3
2.381	8.3
2.378	8.3
2.375	8.3
2.372	8.3
2.369	8.3
2.366	8.3
2.363	8.3
2.361	8.3
2.358	8.3
2.355	8.3
2.352	8.3
2.349	8.3
2.346	8.3
2.343	8.3
2.340	8.3
2.337	8.3
2.334	8.3
2.331	8.3
2.328	8.3
2.325	8.3
2.322	8.3
2.319	8.4
2.316	8.3
2.313	8.3
2.310	8.3
2.307	8.4
2.304	8.3
2.301	8.4
2.298	8.4
2.295	8.4
2.292	8.4
2.289	8.4
2.286	8.4
2.283	8.4
2.280	8.4
2.277	8.4
2.275	8.4
2.272	8.4
2.269	8.4
2.266	8.4
2.263	8.4
2.260	8.4
2.257	8.4
2.254	8.4
2.251	8.4
2.248	8.4
2.245	8.4
2.242	8.4
2.239	8.4
2.236	8.4
2.233	8.4
2.230	8.4
2.227	8.4
2.224	8.4
2.221	8.4
2.218	8.4
2.215	8.4
2.212	8.4
2.209	8.4
2.206	8.4
2.203	8.4
2.200	8.5
2.197	8.5
2.194	8.5
2.191	8.5
2.188	8.5
2.186	8.5
2.183	8.5
2.180	8.5
2.177	8.5
2.174	8.5
2.171	8.5
2.168	8.5
2.165	8.5
2.162	8.5
2.159	8.5
2.156	8.5
2.153	8.5
2.150	8.5
2.147	8.5
2.144	8.5
2.141	8.5
2.138	8.5
2.135	8.5
2.132	8.5
2.129	8.5
2.126	8.5
2.123	8.5
2.120	8.5
2.117	8.6
2.114	8.5
2.111	8.5
2.108	8.5
2.105	8.5
2.102	8.5
2.099	8.5
2.097	8.5
2.094	8.5
2.091	8.5
2.088	8.5
2.085	8.6
2.082	8.6
2.079	8.5
2.076	8.6
2.073	8.6
2.070	8.5
2.067	8.6
2.064	8.6
2.061	8.6
2.058	8.6
2.055	8.6
2.052	8.6
2.049	8.6
2.046	8.6
2.043	8.6
2.040	8.6
2.037	8.6
2.034	8.6
2.031	8.6
2.028	8.6
2.025	8.6
2.022	8.6
2.019	8.6
2.016	8.6
2.013	8.6
2.010	8.6
2.008	8.6
2.005	8.6
2.002	8.6
1.999	8.6
1.996	8.6
1.993	8.6
1.990	8.6
1.987	8.6
1.984	8.6
1.981	8.6
1.978	8.6
1.975	8.6
1.972	8.6
1.969	8.6
1.966	8.6
1.963	8.6
1.960	8.6
1.957	8.6
1.954	8.6
1.951	8.6
1.948	8.6
1.945	8.6
1.942	8.6
1.939	8.6
1.936	8.6
1.933	8.6
1.930	8.6
1.927	8.6
1.924	8.6
1.921	8.6
1.918	8.6
1.916	8.6
1.913	8.6
1.910	8.6
1.907	8.7
1.904	8.6
1.901	8.6
1.898	8.6
1.895	8.6
1.892	8.7
1.889	8.7
1.886	8.7
1.883	8.7
1.880	8.7
1.877	8.7
1.874	8.7
1.871	8.7
1.868	8.7
1.865	8.7
1.862	8.7
1.859	8.7
1.856	8.7
1.853	8.7
1.850	8.7
1.847	8.7
1.844	8.7
1.841	8.7
1.838	8.7
1.835	8.7
1.832	8.7
1.829	8.7
1.826	8.7
1.824	8.7
1.821	8.7
1.818	8.7
1.815	8.7
1.812	8.7
1.809	8.7
1.806	8.7
1.803	8.7
1.800	8.7
1.797	8.7
1.794	8.7
1.791	8.7
1.788	8.7
1.785	8.7
1.782	8.7
1.779	8.7
1.776	8.7
1.773	8.7
1.770	8.7
1.767	8.7
1.764	8.7
1.761	8.7
1.758	8.7
1.755	8.7
1.752	8.7
1.749	8.7
1.746	8.7
1.743	8.7
1.740	8.7
1.737	8.7
1.734	8.7
1.732	8.7
1.729	8.7
1.726	8.8
1.723	8.8
1.720	8.8
1.717	8.8
1.714	8.8
1.711	8.8
1.708	8.8
1.705	8.8
1.702	8.8
1.699	8.8
1.696	8.8
1.693	8.8
1.690	8.8
1.687	8.8
