&a / °	I1 / %
3,039	7,3
3,036	7,3
3,033	7,2
3,030	7,1
3,027	7,1
3,025	7,2
3,022	7,1
3,019	7,1
3,016	7,1
3,013	7,1
3,010	7,1
3,007	7,1
3,004	7,1
3,001	7,1
2,998	7,0
2,995	7,0
2,992	7,2
2,989	7,1
2,986	7,1
2,983	7,1
2,980	7,1
2,977	7,1
2,974	7,1
2,971	7,2
2,968	7,1
2,965	7,1
2,962	7,1
2,959	7,1
2,956	7,1
2,953	7,1
2,950	7,2
2,947	7,2
2,945	7,1
2,942	7,2
2,939	7,2
2,936	7,2
2,933	7,2
2,930	7,2
2,927	7,2
2,924	7,2
2,921	7,2
2,918	7,2
2,915	7,2
2,912	7,1
2,909	7,2
2,906	7,2
2,903	7,2
2,900	7,2
2,897	7,2
2,894	7,2
2,891	7,2
2,888	7,2
2,885	7,2
2,882	7,2
2,879	7,2
2,876	7,3
2,873	7,3
2,870	7,2
2,867	7,2
2,865	7,3
2,862	7,3
2,859	7,2
2,856	7,2
2,853	7,2
2,850	7,2
2,847	7,2
2,844	7,3
2,841	7,3
2,838	7,2
2,835	7,2
2,832	7,2
2,829	7,2
2,826	7,2
2,823	7,3
2,820	7,3
2,817	7,2
2,814	7,2
2,811	7,3
2,808	7,2
2,805	7,2
2,802	7,3
2,799	7,3
2,796	7,2
2,793	7,2
2,790	7,2
2,787	7,2
2,785	7,2
2,782	7,3
2,779	7,2
2,776	7,2
2,773	7,2
2,770	7,3
2,767	7,2
2,764	7,2
2,761	7,3
2,758	7,3
2,755	7,2
2,752	7,2
2,749	7,3
2,746	7,2
2,743	7,3
2,740	7,3
2,737	7,3
2,734	7,3
2,731	7,2
2,728	7,3
2,725	7,2
2,722	7,2
2,719	7,3
2,716	7,3
2,713	7,2
2,710	7,3
2,707	7,3
2,704	7,2
2,702	7,3
2,699	7,3
2,696	7,3
2,693	7,3
2,690	7,2
2,687	7,3
2,684	7,3
2,681	7,3
2,678	7,3
2,675	7,3
2,672	7,3
2,669	7,3
2,666	7,3
2,663	7,3
2,660	7,3
2,657	7,3
2,654	7,3
2,651	7,3
2,648	7,3
2,645	7,3
2,642	7,3
2,639	7,2
2,636	7,3
2,633	7,3
2,630	7,3
2,627	7,3
2,624	7,3
2,621	7,3
2,619	7,2
2,616	7,3
2,613	7,3
2,610	7,3
2,607	7,3
2,604	7,3
2,601	7,3
2,598	7,3
2,595	7,3
2,592	7,4
2,589	7,4
2,586	7,4
2,583	7,4
2,580	7,4
2,577	7,4
2,574	7,4
2,571	7,4
2,568	7,4
2,565	7,4
2,562	7,4
2,559	7,4
2,556	7,4
2,553	7,4
2,550	7,4
2,547	7,4
2,544	7,4
2,541	7,4
2,538	7,4
2,535	7,4
2,533	7,4
2,530	7,5
2,527	7,5
2,524	7,4
2,521	7,5
2,518	7,5
2,515	7,5
2,512	7,5
2,509	7,5
2,506	7,5
2,503	7,4
2,500	7,4
2,497	7,5
2,494	7,5
2,491	7,5
2,488	7,5
2,485	7,5
2,482	7,5
2,479	7,5
2,476	7,5
2,473	7,5
2,470	7,6
2,467	7,5
2,464	7,5
2,461	7,5
2,458	7,5
2,455	7,5
2,452	7,5
2,449	7,5
2,447	7,5
2,444	7,5
2,441	7,5
2,438	7,5
2,435	7,5
2,432	7,5
2,429	7,5
2,426	7,5
2,423	7,6
2,420	7,6
2,417	7,6
2,414	7,6
2,411	7,6
2,408	7,5
2,405	7,5
2,402	7,6
2,399	7,6
2,396	7,6
2,393	7,6
2,390	7,6
2,387	7,5
2,384	7,6
2,381	7,6
2,378	7,6
2,375	7,6
2,372	7,6
2,369	7,6
2,366	7,6
2,363	7,6
2,361	7,6
2,358	7,6
2,355	7,6
2,352	7,6
2,349	7,6
2,346	7,7
2,343	7,6
2,340	7,6
2,337	7,6
2,334	7,6
2,331	7,6
2,328	7,6
2,325	7,6
2,322	7,6
2,319	7,6
2,316	7,6
2,313	7,6
2,310	7,6
2,307	7,6
2,304	7,6
2,301	7,6
2,298	7,6
2,295	7,6
2,292	7,6
2,289	7,6
2,286	7,6
2,283	7,6
2,280	7,6
2,277	7,6
2,275	7,6
2,272	7,6
2,269	7,6
2,266	7,6
2,263	7,6
2,260	7,6
2,257	7,7
2,254	7,7
2,251	7,7
2,248	7,7
2,245	7,7
2,242	7,7
2,239	7,7
2,236	7,7
2,233	7,7
2,230	7,7
2,227	7,7
2,224	7,7
2,221	7,7
2,218	7,7
2,215	7,7
2,212	7,7
2,209	7,7
2,206	7,7
2,203	7,7
2,200	7,7
2,197	7,7
2,194	7,7
2,191	7,7
2,188	7,7
2,186	7,7
2,183	7,7
2,180	7,7
2,177	7,7
2,174	7,7
2,171	7,7
2,168	7,7
2,165	7,7
2,162	7,7
2,159	7,7
2,156	7,7
2,153	7,7
2,150	7,7
2,147	7,7
2,144	7,7
2,141	7,7
2,138	7,7
2,135	7,7
2,132	7,7
2,129	7,7
2,126	7,7
2,123	7,7
2,120	7,7
2,117	7,7
2,114	7,7
2,111	7,7
2,108	7,7
2,105	7,8
2,102	7,8
2,099	7,8
2,097	7,8
2,094	7,8
2,091	7,8
2,088	7,7
2,085	7,8
2,082	7,8
2,079	7,8
2,076	7,8
2,073	7,8
2,070	7,8
2,067	7,8
2,064	7,8
2,061	7,8
2,058	7,8
2,055	7,8
2,052	7,8
2,049	7,8
2,046	7,8
2,043	7,8
2,040	7,8
2,037	7,8
2,034	7,8
2,031	7,8
2,028	7,8
2,025	7,8
2,022	7,8
2,019	7,8
2,016	7,8
2,013	7,8
2,010	7,8
2,008	7,8
2,005	7,8
2,002	7,8
1,999	7,8
1,996	7,8
1,993	7,8
1,990	7,8
1,987	7,8
1,984	7,8
1,981	7,8
1,978	7,8
1,975	7,8
1,972	7,8
1,969	7,8
1,966	7,8
1,963	7,8
1,960	7,8
1,957	7,8
1,954	7,8
1,951	7,8
1,948	7,8
1,945	7,8
1,942	7,8
1,939	7,8
1,936	7,8
1,933	7,8
1,930	7,8
1,927	7,9
1,924	7,9
1,921	7,9
1,918	7,9
1,916	7,9
1,913	7,9
1,910	7,9
1,907	7,9
1,904	7,9
1,901	7,9
1,898	7,9
1,895	7,9
1,892	7,9
1,889	7,9
1,886	7,9
1,883	7,9
1,880	7,9
1,877	7,9
1,874	7,9
1,871	7,9
1,868	7,9
1,865	7,9
1,862	7,9
1,859	7,9
1,856	7,9
1,853	7,9
1,850	7,9
1,847	7,9
1,844	7,9
1,841	7,9
1,838	7,9
1,835	7,9
1,832	7,9
1,829	7,9
1,826	7,9
1,824	7,9
1,821	7,9
1,818	7,9
1,815	7,9
1,812	7,9
1,809	7,9
1,806	7,9
1,803	7,9
1,800	7,9
1,797	7,9
1,794	7,9
1,791	7,9
1,788	7,9
1,785	7,9
1,782	7,9
1,779	7,9
1,776	7,9
1,773	7,9
1,770	7,9
1,767	7,9
1,764	8,0
1,761	8,0
1,758	8,0
1,755	8,0
1,752	8,0
1,749	8,0
1,746	8,0
1,743	8,0
1,740	8,0
1,737	8,0
1,734	8,0
1,732	8,0
1,729	8,0
1,726	8,0
1,723	8,0
1,720	8,0
1,717	8,0
1,714	8,0
1,711	8,0
1,708	8,0
1,705	8,0
1,702	8,0
1,699	8,0
1,696	8,0
1,693	8,0
1,690	8,0
1,687	8,0
1,684	8,0
1,681	8,0
1,678	8,0
1,675	8,0
1,672	8,1
1,669	8,1
1,666	8,1
1,663	8,1
1,660	8,1
1,657	8,1
1,654	8,1
1,651	8,1
1,648	8,1
1,645	8,1
1,642	8,1
1,639	8,1
1,637	8,1
1,634	8,1
1,631	8,1
1,628	8,1
1,625	8,1
1,622	8,1
1,619	8,1
1,616	8,1
1,613	8,1
1,610	8,1
1,607	8,1
1,604	8,1
1,601	8,1
1,598	8,1
1,595	8,1
1,592	8,1
1,589	8,1
1,586	8,1
1,583	8,1
1,580	8,1
1,577	8,1
1,574	8,1
1,571	8,1
1,568	8,1
1,565	8,1
1,562	8,1
1,559	8,1
1,556	8,1
1,553	8,1
1,550	8,1
1,547	8,1
1,544	8,3
1,542	8,2
1,539	8,2
1,536	8,2
1,533	8,2
1,530	8,2
1,527	8,2
1,524	8,2
1,521	9,7
1,518	9,0
1,515	8,6
1,512	8,4
1,509	8,3
1,506	8,3
1,503	8,3
1,500	8,3
1,497	8,3
1,494	8,2
1,491	8,2
1,488	8,2
1,485	8,2
1,482	8,2
1,479	8,3
1,476	8,3
1,473	8,3
1,470	8,3
1,467	8,3
1,464	8,3
1,461	8,3
1,458	8,3
1,455	8,3
1,452	8,3
1,449	8,3
1,447	8,3
1,444	8,3
1,441	8,3
1,438	8,3
1,435	8,3
1,432	8,4
1,429	8,4
1,426	8,4
1,423	8,4
1,420	8,4
1,417	8,4
1,414	8,4
1,411	8,4
1,408	8,4
1,405	8,4
1,402	8,4
1,399	8,4
1,396	8,4
1,393	8,4
1,390	8,4
1,387	8,4
1,384	8,4
1,381	8,4
1,378	8,4
1,375	8,4
1,372	8,4
1,369	8,4
1,366	8,4
1,363	8,4
1,360	8,4
1,357	8,4
1,354	8,4
1,352	8,4
1,349	8,4
1,346	8,4
1,343	8,4
1,340	8,4
1,337	8,4
1,334	8,4
1,331	8,4
1,328	8,4
1,325	8,4
1,322	8,4
1,319	8,3
1,316	8,3
1,313	8,3
1,310	8,3
1,307	8,3
1,304	8,3
1,301	8,3
1,298	8,3
1,295	8,3
1,292	8,4
1,289	8,3
1,286	8,3
1,283	8,3
1,280	8,3
1,277	8,3
1,274	8,3
1,271	8,4
1,268	8,4
1,265	8,4
1,262	8,4
1,259	8,4
1,256	8,3
1,254	8,3
1,251	8,4
1,248	8,4
1,245	8,4
1,242	8,4
1,239	8,4
1,236	8,4
1,233	8,4
1,230	8,4
1,227	8,4
1,224	8,4
1,221	8,4
1,218	8,4
1,215	8,4
1,212	8,4
1,209	8,4
1,206	8,4
1,203	8,4
1,200	8,4
1,197	8,4
1,194	8,4
1,191	8,4
1,188	8,4
1,185	8,4
1,182	8,4
1,179	8,4
1,176	8,4
1,173	8,4
1,170	8,4
1,167	8,4
1,164	8,4
1,161	8,4
1,158	8,4
1,156	8,4
1,153	8,4
1,150	8,4
1,147	8,4
1,144	8,4
1,141	8,4
1,138	8,4
1,135	8,4
1,132	8,4
1,129	8,4
1,126	8,4
1,123	8,4
1,120	8,4
1,117	8,5
1,114	8,4
1,111	8,4
1,108	8,4
1,105	8,4
1,102	8,5
1,099	8,4
1,096	8,4
1,093	8,4
1,090	8,4
1,087	8,4
1,084	8,5
1,081	8,4
1,078	8,4
1,075	8,4
1,072	8,5
1,069	8,5
1,066	8,5
1,063	8,5
1,060	8,5
1,058	8,5
1,055	8,5
1,052	8,5
1,049	8,5
1,046	8,5
1,043	8,5
1,040	8,5
1,037	8,5
1,034	8,5
1,031	8,5
1,028	8,5
1,025	8,5
1,022	8,5
1,019	8,5
1,016	8,5
1,013	8,5
1,010	8,5
1,007	8,5
1,004	8,5
1,001	8,5
0,998	8,5
0,995	8,5
0,992	8,5
0,989	8,5
0,986	8,5
0,983	8,5
0,980	8,5
0,977	8,5
0,974	8,5
0,971	8,5
0,968	8,5
0,965	8,5
0,962	8,5
0,960	8,6
0,957	8,6
0,954	8,6
0,951	8,6
0,948	8,6
0,945	8,6
0,942	8,6
0,939	8,6
0,936	8,6
0,933	8,6
0,930	8,6
0,927	8,6
0,924	8,6
0,921	8,6
0,918	8,6
0,915	8,6
0,912	8,6
0,909	8,6
0,906	8,6
0,903	8,6
0,900	8,6
0,897	8,6
0,894	8,7
0,891	8,7
0,888	8,7
0,885	8,7
0,882	8,7
0,879	8,7
0,876	8,7
0,873	8,7
0,870	8,7
0,867	8,7
0,864	8,7
0,861	8,7
0,859	8,7
0,856	8,7
0,853	8,7
0,850	8,7
0,847	8,7
0,844	8,7
0,841	8,7
0,838	8,7
0,835	8,7
0,832	8,7
0,829	8,7
0,826	8,7
0,823	8,7
0,820	8,7
0,817	8,7
0,814	8,7
0,811	8,7
0,808	8,7
0,805	8,7
0,802	8,7
0,799	8,7
0,796	8,7
0,793	8,7
0,790	8,7
0,787	8,7
0,784	8,7
0,781	8,7
0,778	8,7
0,775	8,7
0,772	8,7
0,769	8,7
0,766	8,7
0,763	8,7
0,761	8,7
0,758	8,7
0,755	8,7
0,752	8,7
0,749	8,8
0,746	8,8
0,743	8,8
0,740	8,8
0,737	8,8
0,734	8,8
0,731	8,8
0,728	8,8
0,725	8,8
0,722	8,8
0,719	8,8
0,716	8,8
0,713	8,8
0,710	8,8
0,707	8,8
0,704	8,8
0,701	8,8
0,698	8,8
0,695	8,8
0,692	8,8
0,689	8,8
0,686	8,8
0,683	8,8
0,680	8,8
0,677	8,8
0,674	8,8
0,671	8,8
0,668	8,8
0,665	8,8
0,662	8,8
0,660	8,8
0,657	8,8
0,654	8,8
0,651	8,8
0,648	8,8
0,645	8,8
0,642	8,8
0,639	8,8
0,636	8,8
0,633	8,8
0,630	8,8
0,627	8,8
0,624	8,8
0,621	8,8
0,618	8,8
0,615	8,8
0,612	8,8
0,609	8,8
0,606	8,9
0,603	8,8
0,600	8,8
0,597	8,8
0,594	8,8
0,591	8,8
0,588	8,8
0,585	8,8
0,582	8,8
0,579	8,8
0,576	8,8
0,573	8,8
0,570	8,8
0,567	8,8
0,564	8,8
0,561	8,8
0,559	8,8
0,556	8,8
0,553	8,8
0,550	8,8
0,547	8,8
0,544	8,8
0,541	8,8
0,538	8,8
0,535	8,8
0,532	8,8
0,529	8,8
0,526	8,8
0,523	8,8
0,520	8,8
0,517	8,8
0,514	8,9
0,511	8,8
0,508	8,9
0,505	8,9
0,502	8,9
0,499	8,9
0,496	8,9
0,493	8,9
0,490	8,9
0,487	8,9
0,484	8,9
0,481	8,9
0,478	8,9
0,475	8,9
0,472	8,9
0,469	8,9
0,466	8,9
0,463	8,9
0,460	8,9
0,458	9,0
0,455	8,9
0,452	8,9
0,449	8,9
0,446	8,9
0,443	8,9
0,440	8,9
0,437	8,9
0,434	8,9
0,431	8,9
0,428	8,9
0,425	8,9
0,422	8,9
0,419	8,9
0,416	8,9
0,413	8,9
0,410	8,9
0,407	8,9
0,404	8,9
0,401	8,9
0,398	8,9
0,395	8,9
0,392	8,9
0,389	8,9
0,386	8,9
0,383	8,9
0,380	8,9
0,377	8,9
0,374	8,9
0,371	8,9
0,368	8,9
0,365	8,9
0,362	8,9
0,359	8,9
0,357	8,9
0,354	8,9
0,351	8,9
0,348	8,9
0,345	8,9
0,342	8,9
0,339	8,9
0,336	8,9
0,333	8,9
0,330	8,9
0,327	8,9
0,324	8,9
0,321	8,9
0,318	8,9
0,315	8,9
0,312	8,9
0,309	8,9
0,306	8,9
0,303	8,9
0,300	8,9
0,297	8,9
0,294	8,9
0,291	8,9
0,288	8,9
0,285	8,9
0,282	8,9
0,279	8,9
0,276	8,9
0,273	8,9
0,270	8,9
0,267	8,9
0,264	8,9
0,261	8,9
0,258	8,9
0,255	8,9
0,253	8,9
0,250	8,9
0,247	8,9
0,244	8,9
0,241	8,9
0,238	8,9
0,235	8,9
0,232	8,9
0,229	8,9
0,226	8,9
0,223	8,9
0,220	8,9
0,217	8,9
0,214	8,9
0,211	8,9
0,208	8,9
0,205	8,9
0,202	8,9
0,199	8,9
0,196	8,9
0,193	8,9
0,190	8,9
0,187	8,9
0,184	8,9
0,181	8,9
0,178	8,9
0,175	9,0
0,172	8,9
0,169	8,9
0,166	9,0
0,163	9,0
0,160	9,1
0,157	9,0
0,154	9,0
0,152	9,0
0,149	9,0
0,146	9,0
0,143	9,0
0,140	9,0
0,137	9,0
0,134	9,0
0,131	9,0
0,128	9,0
0,125	9,0
0,122	9,1
0,119	9,1
0,116	9,1
0,113	9,1
0,110	9,1
0,107	9,1
0,104	9,1
0,101	9,1
0,098	9,1
0,095	9,1
0,092	9,1
0,089	9,1
0,086	9,1
0,083	9,1
0,080	9,1
0,077	9,2
0,074	9,2
0,071	9,3
0,068	9,6
0,065	10,0
0,062	10,3
0,059	10,6
0,056	10,9
0,053	11,3
0,051	12,4
0,048	13,6
0,045	14,4
0,042	15,0
0,039	15,4
0,036	15,7
0,033	15,9
0,030	16,3
0,027	16,7
0,024	16,9
0,021	17,3
0,018	17,6
0,015	17,8
0,012	18,0
0,009	18,2
0,006	18,3
0,003	18,5
0,000	19,4
-0,003	19,1
-0,006	18,9
-0,009	18,8
-0,012	18,4
-0,015	17,9
-0,018	17,5
-0,021	17,1
-0,024	16,5
-0,027	15,4
-0,030	13,7
-0,033	11,9
-0,036	10,7
-0,039	9,9
-0,042	9,6
-0,045	9,4
-0,048	9,3
-0,051	9,2
-0,053	9,2
-0,056	9,2
-0,059	9,2
-0,062	9,2
-0,065	9,2
-0,068	9,2
-0,071	9,2
-0,074	9,2
-0,077	9,2
-0,080	9,2
-0,083	9,2
-0,086	9,2
-0,089	9,2
-0,092	9,2
-0,095	9,2
-0,098	9,2
-0,101	9,2
-0,104	9,2
-0,107	9,2
-0,110	9,2
-0,113	9,2
-0,116	9,2
-0,119	9,2
-0,122	9,1
-0,125	9,1
-0,128	9,1
-0,131	9,1
-0,134	9,1
-0,137	9,1
-0,140	9,2
-0,143	9,1
-0,146	9,1
-0,149	9,2
-0,152	9,1
-0,154	9,1
-0,157	9,1
-0,160	9,1
-0,163	9,1
-0,166	9,1
-0,169	9,2
-0,172	9,2
-0,175	9,1
-0,178	9,1
-0,181	9,2
-0,184	9,2
-0,187	9,2
-0,190	9,2
-0,193	9,2
-0,196	9,2
-0,199	9,2
-0,202	9,2
-0,205	9,2
-0,208	9,2
